PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Rank,TotalPoints
KeeSean Johnson,2562677,WR,FA,,,,,,,,,,,,,,,,,203,0.00
Marcus Johnson,2556855,WR,TEN,,,,,,,,,,,,8.36,,,,,204,0.00
Tyler Johnson,2565225,WR,TB,,,,,,,,,,,,,,,,,205,0.00
Tyron Johnson,2562932,WR,JAX,,,,,,,,,,,,5.74,,,,,206,0.00
Tim Jones,2565624,WR,FA,,,,,,,,,,,,,,,,,207,0.00
Zay Jones,2557863,WR,LV,,,,,,,,,,,,7.78,,,,,208,0.00
Travis Jonsen,2565228,WR,FA,,,,,,,,,,,,,,,,,209,0.00
Marcus Kemp,2559076,WR,KC,,,,,,,,,,,,7.69,,,,,210,0.00
Tom Kennedy,2563319,WR,DET,,,,,,,,,,,,,,,,,211,0.00
Darvin Kidsy,2561359,WR,FA,,,,,,,,,,,,,,,,,212,0.00
Mason Kinsey,2565459,WR,FA,,,,,,,,,,,,,,,,,213,0.00
Christian Kirk,2560781,WR,ARI,,,,,,,,,,,,,,,,,214,0.00
Keith Kirkwood,2561224,WR,FA,,,,,,,,,,,,,,,,,215,0.00
J.J. Koski,2564367,WR,FA,,,,,,,,,,,,,,,,,216,0.00
Jake Kumerow,2553548,WR,BUF,,,,,,,,,,,,11.21,,,,,217,0.00
Cooper Kupp,2557898,WR,LA,,,,,,,,,,,,10.54,,,,,218,0.00
CeeDee Lamb,2563848,WR,DAL,,,,,,,,,,,,10.99,,,,,219,0.00
Jake Lampman,2556882,WR,FA,,,,,,,,,,,,,,,,,220,0.00
Allen Lazard,2560787,WR,GB,,,,,,,,,,,,8.98,,,,,221,0.00
Kai Locksley,2565675,WR,FA,,,,,,,,,,,,,,,,,222,0.00
Austin Mack,2564760,WR,FA,,,,,,,,,,,,,,,,,223,0.00
Josh Malone,2558127,WR,FA,,,,,,,,,,,,,,,,,224,0.00
Terrace Marshall Jr.,2565902,WR,CAR,,,,,,,,,,,,14.55,,,,,225,0.00
