PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Austin Hooper,2555415,TE,NE,,,,,,8,82,1,,,,1,10.57,,8,8,8,16,50,2,,,35,17.70
Will Dissly,2561046,TE,LAC,,,,,,13,111,,,,,,9.07,,13,13,13,15,87,,,,36,17.60
Theo Johnson,2572333,TE,NYG,,,,,,11,115,,,,,,4.66,,11,11,11,16,69,1,,1,37,17.00
Grant Calcaterra,2568063,TE,PHI,,,,,,8,123,,,,,,6.53,,8,8,8,9,89,,,,38,16.90
Noah Gray,2566178,TE,KC,,,,,,10,119,,,,,,8.02,,10,10,10,11,91,2,1,,39,16.90
AJ Barner,2572513,TE,SEA,,,,,,7,66,1,,,,,8.70,,7,7,7,7,100,1,,1,40,16.10
David Njoku,2557986,TE,CLE,,,,,,10,89,,,,,,10.05,,10,10,10,15,67,,,,41,15.40
Andrew Ogletree,2567712,TE,IND,,,,,,5,56,1,,,,,5.72,,5,5,5,6,83,1,,,42,15.30
Darnell Washington,2570257,TE,PIT,,,,,,6,55,1,,,,,6.27,,6,6,6,7,86,1,,1,43,14.50
Evan Engram,2557858,TE,JAX,,,,,,11,107,,,,,1,7.93,,11,11,11,14,79,,,,44,14.20
Ja'Tavion Sanders,2571892,TE,CAR,,,,,,13,90,,,,,1,7.75,,13,13,13,18,72,2,1,1,45,13.50
Josh Oliver,2562693,TE,MIN,,,,,,4,37,1,,,,,6.32,,4,4,4,5,80,1,,1,46,13.20
Connor Heyward,2568138,TE,PIT,,,,,,4,29,1,,,,,6.27,,4,4,4,6,67,1,,,47,13.00
Dawson Knox,2562681,TE,BUF,,,,,,4,42,1,,,,,3.92,,4,4,4,6,67,,,,48,12.20
Kylen Granson,2566145,TE,IND,,,,,,2,49,,,,,,5.72,,2,2,2,5,40,1,,,49,11.90
Josh Whyle,2569810,TE,TEN,,,,,,8,63,,,,,,7.32,,8,8,8,9,89,1,1,,50,11.80
Feleipe Franks,2566683,TE,CAR,,,,,,,,,,,,,7.75,,,,,1,,,,,51,10.30
Eric Saubert,2558023,TE,SF,,,,,,4,67,,,,,,13.88,,4,4,4,5,80,,,,52,10.20
Harrison Bryant,2563767,TE,LV,,,,,,5,45,,,,,,13.00,,5,5,5,8,63,,,,53,10.00
Nick Vannett,2555289,TE,TEN,,,,,,4,20,1,,,,,7.32,,4,4,4,4,100,1,,1,54,10.00
Luke Schoonmaker,2569690,TE,DAL,,,,,,8,56,,,,,,,,,,,,,,,,55,9.60
Hayden Hurst,2560747,TE,LAC,,,,,,6,59,,,,,,9.07,,6,6,6,10,60,3,,2,56,8.90
Blake Whiteheart,2571077,TE,CLE,,,,,,3,13,1,,,,,10.05,,3,3,3,3,100,2,1,1,57,8.80
Luke Farrell,2566160,TE,JAX,,,,,,5,31,,,,,,7.93,,5,5,5,7,71,1,1,,58,8.60
