PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Jerrick Reed II,2570332,DB,SEA,ARI,,,,,,,,,,,,,,,,,,0.00,461,0.00,0.0
Justin Reid,2560851,DB,KC,@CAR,,,,,,,,,,,,,,,,,,8.13,462,0.00,-8.13
Decamerion Richardson,2572237,DB,LV,DEN,,,,,,,,,,,,,,,,,,1.52,463,0.00,-1.52
Demani Richardson,2572947,DB,CAR,KC,,,,,,,,,,,,,,,,,,0.44,464,0.00,-0.44
Eli Ricks,2570641,DB,PHI,@LAR,,,,,,,,,,,,,,,,,,1.17,465,0.00,-1.17
Elijah Riley,2564853,DB,NYG,TB,,,,,,,,,,,,,,,,,,0.00,466,0.00,0.0
Kelee Ringo,2570197,DB,PHI,@LAR,,,,,,,,,,,,,,,,,,1.38,467,0.00,-1.38
Willie Roberts,2573893,DB,FA,Bye,,,,,,,,,,,,,,,,,,,468,0.00,
Amik Robertson,2564430,DB,DET,@IND,,,,,,,,,,,,,,,,,,4.45,469,0.00,-4.45
Aaron Robinson,2566370,DB,FA,Bye,,,,,,,,,,,,,,,,,,,470,0.00,
Jammie Robinson,2569609,DB,CAR,KC,,,,,,,,,,,,,,,,,,0.93,471,0.00,-0.93
Lance Robinson,2573016,DB,CIN,Bye,,,,,,,,,,,,,,,,,,,472,0.00,
Bradley Roby,2543505,DB,FA,Bye,,,,,,,,,,,,,,,,,,,473,0.00,
Robert Rochell,2566241,DB,GB,SF,,,,,,,,,,,,,,,,,,0.00,474,0.00,0.0
Isaiah Rodgers,2564142,DB,PHI,@LAR,,,,,,,,,,,,,,,,,,1.17,475,0.00,-1.17
Christian Roland-Wallace,2572844,DB,KC,@CAR,,,,,,,,,,,,,,,,,,0.52,476,0.00,-0.52
D'Angelo Ross,2563057,DB,HOU,TEN,,,,,,,,,,,,,,,,,,1.33,477,0.00,-1.33
Darius Rush,2569867,DB,KC,@CAR,,,,,,,,,,,,,,,,,,0.00,478,0.00,0.0
Mike Sainristil,2572582,DB,WAS,DAL,,,,,,,,,,,,,,,,,,4.77,479,0.00,-4.77
Andre' Sam,2572744,DB,PHI,@LAR,,,,,,,,,,,,,,,,,,0.00,480,0.00,0.0
Asante Samuel Jr.,2566511,DB,LAC,BAL,,,,,,,,,,,,,,,,,,7.11,481,0.00,-7.11
Phalen Sanford,2573238,DB,FA,Bye,,,,,,,,,,,,,,,,,,,482,0.00,
Anthony Sao,2572890,DB,FA,Bye,,,,,,,,,,,,,,,,,,,483,0.00,
Benny Sapp III,2570503,DB,FA,Bye,,,,,,,,,,,,,,,,,,,484,0.00,
Darnell Savage,2562724,DB,JAX,Bye,,,,,,,,,,,,,,,,,,,485,0.00,
Brenden Schooler,2568483,DB,NE,@MIA,,,,,,,,,,,,,,,,,,1.12,486,0.00,-1.12
Daniel Scott,2569852,DB,IND,DET,,,,,,,,,,,,,,,,,,0.00,487,0.00,0.0
Eric Scott Jr.,2569693,DB,KC,@CAR,,,,,,,,,,,,,,,,,,0.00,488,0.00,0.0
Josiah Scott,2564229,DB,FA,Bye,,,,,,,,,,,,,,,,,,,489,0.00,
Nick Scott,2562905,DB,CAR,KC,,,,,,,,,,,,,,,,,,3.50,490,0.00,-3.5
Kevon Seymour,2555549,DB,WAS,DAL,,,,,,,,,,,,,,,,,,0.00,491,0.00,0.0
Kendall Sheffield,2562730,DB,NYJ,Bye,,,,,,,,,,,,,,,,,,,492,0.00,
Duke Shelley,2562957,DB,FA,Bye,,,,,,,,,,,,,,,,,,,493,0.00,
Nehemiah Shelton,2571786,DB,FA,Bye,,,,,,,,,,,,,,,,,,,494,0.00,
Ja'Quan Sheppard,2573244,DB,FA,Bye,,,,,,,,,,,,,,,,,,,495,0.00,
Isaiah Simmons,2564940,DB,NYG,TB,,,,,,,,,,,,,,,,,,2.17,496,0.00,-2.17
Justin Simmons,2555550,DB,ATL,Bye,,,,,,,,,,,,,,,,,,,497,0.00,
