PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Tim Tebow,497135,TE,FA,,,,,,,,,,,,,,,,,,,,,,183,0.00
Hunter Thedford,2565585,TE,FA,,,,,,,,,,,,,,,,,,,,,,184,0.00
Jordan Thomas,2560896,TE,FA,,,,,,,,,,,,,,,,,,,,,,185,0.00
Colin Thompson,2559268,TE,CAR,,,,,,,,,,,,6.31,,,,,1,,,,,186,0.00
Noah Togiai,2564865,TE,FA,,,,,,,,,,,,,,,,,,,,,,187,0.00
Levine Toilolo,2540203,TE,NYG,,,,,,,,,,,,14.40,,,,,,,,,,188,0.00
Eric Tomlinson,2553744,TE,FA,,,,,,,,,,,,,,,,,,,,,,189,0.00
Ross Travis,2554630,TE,FA,,,,,,,,,,,,,,,,,,,,,,190,0.00
Carl Tucker,2566665,TE,FA,,,,,,,,,,,,,,,,,,,,,,191,0.00
Nick Vannett,2555289,TE,NO,,,,,,,,,,,,11.44,,,,,,,,,,192,0.00
Andrew Vollert,2561284,TE,FA,,,,,,,,,,,,,,,,,,,,,,193,0.00
Delanie Walker,2495966,TE,FA,,,,,,,,,,,,,,,,,,,,,,194,0.00
Kahale Warring,2562771,TE,FA,,,,,,,,,,,,,,,,,,,,,,195,0.00
Nate Wieting,2563815,TE,FA,,,,,,,,,,,,,,,,,,,,,,196,0.00
Mitchell Wilcox,2563749,TE,CIN,,,,,,,,,,,,9.04,,,,,,,,,,197,0.00
Carson Williams,2565669,TE,FA,,,,,,,,,,,,,,,,,,,,,,198,0.00
Luke Willson,2541199,TE,FA,,,,,,,,,,,,,,,,,,,,,,199,0.00
Caleb Wilson,2562603,TE,FA,,,,,,,,,,,,,,,,,,,,,,200,0.00
Jason Witten,2505629,TE,FA,,,,,,,,,,,,,,,,,,,,,,201,0.00
Eli Wolf,2565354,TE,FA,,,,,,,,,,,,,,,,,,,,,,202,0.00
Ethan Wolf,2561422,TE,FA,,,,,,,,,,,,,,,,,,,,,,203,0.00
Kenny Yeboah,2565768,TE,FA,,,,,,,,,,,,,,,,,,,,,,204,0.00
