PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Todd Davis,2550930,LB,FA,Bye,,,,,,,,,,,,,,,,,,,189,0.00,,
Tyrel Dodson,2562560,LB,BUF,@KC,,,,,,,,,,,,,,,,,,1.91,190,0.00,1.91,-1.91
Devante Downs,2561151,LB,FA,Bye,,,,,,,,,,,,,,,,,,,191,0.00,,
Bud Dupree,2552289,LB,TEN,@JAX,,,,,,,,,,,,,,,,,,0.00,192,0.00,0.0,0.0
Troy Dye,2564535,LB,MIN,DET,,,,,,,,,,,,,,,,,,0.60,193,0.00,0.6,-0.6
Nick Dzubnar,2553877,LB,TEN,@JAX,,,,,,,,,,,,,,,,,,0.00,194,0.00,0.0,0.0
Emeke Egbule,2562578,LB,LAC,CLE,,,,,,,,,,,,,,,,,,0.00,195,0.00,0.0,0.0
Milo Eifler,2565729,LB,MIA,@TB,,,,,,,,,,,,,,,,,,0.00,196,0.00,0.0,0.0
Duke Ejiofor,2560714,LB,FA,Bye,,,,,,,,,,,,,,,,,,,197,0.00,,
Jay Elliott,2550196,LB,FA,Bye,,,,,,,,,,,,,,,,,,,198,0.00,,
Kaden Elliss,2562901,LB,NO,@WAS,,,,,,,,,,,,,,,,,,2.53,199,0.00,2.53,-2.53
Kyle Emanuel,2552296,LB,FA,Bye,,,,,,,,,,,,,,,,,,,200,0.00,,
Jordan Evans,2558801,LB,CIN,GB,,,,,,,,,,,,,,,,,,,201,0.00,,
Jaylon Ferguson,2562650,LB,BAL,IND,,,,,,,,,,,,,,,,,,0.00,202,0.00,0.0,0.0
Tony Fields II,2565971,LB,CLE,@LAC,,,,,,,,,,,,,,,,,,0.00,203,0.00,0.0,0.0
Sharif Finch,2561328,LB,FA,Bye,,,,,,,,,,,,,,,,,,,204,0.00,,
