PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Sony Michel,2560809,RB,LAC,@SF,,,,,,,,,,,,,4.04,143,0.00,-4.04
Elijah Mitchell,2566538,RB,SF,LAC,,,,,,,,,,,,,,144,0.00,
Joe Mixon,2557976,RB,CIN,Bye,,,,,,,,,,,,,,145,0.00,
David Montgomery,2562502,RB,CHI,DET,,,,,,,,,,,,,13.47,146,0.00,-13.47
Zack Moss,2563617,RB,BUF,MIN,,,,,,,,,,,,,4.00,147,0.00,-4.0
Raheem Mostert,2553728,RB,MIA,CLE,,,,,,,,,,,,,10.76,148,0.00,-10.76
Latavius Murray,2541161,RB,DEN,@TEN,,,,,,,,,,,,,,149,0.00,
Gabe Nabers,2565066,RB,FA,Bye,,,,,,,,,,,,,,150,0.00,
Ryan Nall,2560817,RB,FA,Bye,,,,,,,,,,,,,,151,0.00,
Kene Nwangwu,2566313,RB,MIN,@BUF,,,,,,,,,,,,,0.60,152,0.00,-0.6
Dare Ogunbowale,2559362,RB,HOU,@NYG,,,,,,,,,,,,,1.50,153,0.00,-1.5
Qadree Ollison,2562797,RB,DAL,@GB,,,,,,,,,,,,,0.00,154,0.00,0.0
Isiah Pacheco,2567808,RB,KC,JAX,,,,,,,,,,,,,4.46,155,0.00,-4.46
Cordarrelle Patterson,2540145,RB,ATL,@CAR,,,,,,,,,,,,,,156,0.00,
Jaret Patterson,2567160,RB,WAS,@PHI,,,,,,,,,,,,,0.00,157,0.00,0.0
Rashaad Penny,2560835,RB,SEA,@TB,,,,,,,,,,,,,11.70,158,0.00,-11.7
La'Mical Perine,2564808,RB,FA,Bye,,,,,,,,,,,,,,159,0.00,
Samaje Perine,2558138,RB,CIN,Bye,,,,,,,,,,,,,,160,0.00,
Malcolm Perry,2564484,RB,FA,Bye,,,,,,,,,,,,,,161,0.00,
Dameon Pierce,2567685,RB,HOU,@NYG,,,,,,,,,,,,,13.65,162,0.00,-13.65
Sandro Platzgummer,2565523,RB,NYG,HOU,,,,,,,,,,,,,0.00,163,0.00,0.0
Tony Pollard,2562699,RB,DAL,@GB,,,,,,,,,,,,,7.88,164,0.00,-7.88
Adam Prentice,2566872,RB,NO,@PIT,,,,,,,,,,,,,0.00,165,0.00,0.0
D'vonte Price,2568921,RB,IND,@LV,,,,,,,,,,,,,0.00,166,0.00,0.0
Nick Ralston,2566836,RB,FA,Bye,,,,,,,,,,,,,,167,0.00,
Craig Reynolds,2562834,RB,DET,@CHI,,,,,,,,,,,,,2.83,168,0.00,-2.83
Patrick Ricard,2558990,RB,BAL,Bye,,,,,,,,,,,,,,169,0.00,
Brian Robinson,2568348,RB,WAS,@PHI,,,,,,,,,,,,,1.72,170,0.00,-1.72
James Robinson,2564223,RB,JAX,@KC,,,,,,,,,,,,,11.13,171,0.00,-11.13
A.J. Rose,2567022,RB,FA,Bye,,,,,,,,,,,,,,172,0.00,
Larry Rountree III,2566505,RB,LAC,@SF,,,,,,,,,,,,,0.00,173,0.00,0.0
Jaylen Samuels,2560862,RB,FA,Bye,,,,,,,,,,,,,,174,0.00,
Miles Sanders,2562722,RB,PHI,WAS,,,,,,,,,,,,,13.07,175,0.00,-13.07
Mekhi Sargent,2566962,RB,JAX,@KC,,,,,,,,,,,,,0.00,176,0.00,0.0
Boston Scott,2561146,RB,PHI,WAS,,,,,,,,,,,,,3.09,177,0.00,-3.09
Trey Sermon,2566544,RB,PHI,WAS,,,,,,,,,,,,,0.00,178,0.00,0.0
Devin Singletary,2562734,RB,BUF,MIN,,,,,,,,,,,,,12.55,179,0.00,-12.55
Abram Smith,2569113,RB,FA,Bye,,,,,,,,,,,,,,180,0.00,
Keith Smith,2550400,RB,ATL,@CAR,,,,,,,,,,,,,0.42,181,0.00,-0.42
Benny Snell,2562743,RB,PIT,NO,,,,,,,,,,,,,1.39,182,0.00,-1.39
Isaiah Spiller,2568189,RB,LAC,@SF,,,,,,,,,,,,,0.00,183,0.00,0.0
Johnny Stanton,2561489,RB,FA,Bye,,,,,,,,,,,,,,184,0.00,
Rhamondre Stevenson,2566343,RB,NE,Bye,,,,,,,,,,,,,,185,0.00,
Pierre Strong,2567952,RB,NE,Bye,,,,,,,,,,,,,,186,0.00,
D'Andre Swift,2563965,RB,DET,@CHI,,,,,,,,,,,,,,187,0.00,
J.J. Taylor,2564640,RB,NE,Bye,,,,,,,,,,,,,,188,0.00,
Jonathan Taylor,2564148,RB,IND,@LV,,,,,,,,,,,,,,189,0.00,
Patrick Taylor,2564040,RB,GB,DAL,,,,,,,,,,,,,1.61,190,0.00,-1.61
Master Teague,2567433,RB,FA,Bye,,,,,,,,,,,,,,191,0.00,
Darwin Thompson,2562832,RB,SEA,@TB,,,,,,,,,,,,,0.00,192,0.00,0.0
Ke'Shawn Vaughn,2565258,RB,TB,SEA,,,,,,,,,,,,,2.36,193,0.00,-2.36
Kenneth Walker III,2568282,RB,SEA,@TB,,,,,,,,,,,,,5.34,194,0.00,-5.34
Jonathan Ward,2564949,RB,ARI,@LA,,,,,,,,,,,,,0.51,195,0.00,-0.51
Jaylen Warren,2568493,RB,PIT,NO,,,,,,,,,,,,,3.77,196,0.00,-3.77
Dwayne Washington,2556118,RB,NO,@PIT,,,,,,,,,,,,,0.84,197,0.00,-0.84
Derek Watt,2555220,RB,PIT,NO,,,,,,,,,,,,,0.54,198,0.00,-0.54
James White,2543773,RB,FA,Bye,,,,,,,,,,,,,,199,0.00,
Rachaad White,2568315,RB,TB,SEA,,,,,,,,,,,,,5.14,200,0.00,-5.14
Zamir White,2567883,RB,LV,IND,,,,,,,,,,,,,1.17,201,0.00,-1.17
Jordan Wilkins,2560933,RB,FA,Bye,,,,,,,,,,,,,,202,0.00,
Antonio Williams,2565393,RB,FA,Bye,,,,,,,,,,,,,,203,0.00,
Damien Williams,2550512,RB,ATL,@CAR,,,,,,,,,,,,,,204,0.00,
Darrel Williams,2560935,RB,ARI,@LA,,,,,,,,,,,,,3.97,205,0.00,-3.97
Dexter Williams,2562784,RB,FA,Bye,,,,,,,,,,,,,,206,0.00,
Jamaal Williams,2558204,RB,DET,@CHI,,,,,,,,,,,,,8.80,207,0.00,-8.8
Javonte Williams,2566049,RB,DEN,@TEN,,,,,,,,,,,,,,208,0.00,
Jonathan Williams,2555227,RB,WAS,@PHI,,,,,,,,,,,,,1.86,209,0.00,-1.86
Kyren Williams,2567862,RB,LA,ARI,,,,,,,,,,,,,,210,0.00,
Pooka Williams Jr.,2566788,RB,FA,Bye,,,,,,,,,,,,,,211,0.00,
Trayveon Williams,2562600,RB,CIN,Bye,,,,,,,,,,,,,,212,0.00,
Ty'Son Williams,2565542,RB,FA,Bye,,,,,,,,,,,,,,213,0.00,
Jeff Wilson,2560938,RB,SF,LAC,,,,,,,,,,,,,10.62,214,0.00,-10.62
