PlayerName,PlayerId,Pos,Team,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Stephen Sullivan,2565192,TE,FA,,,,,,,,,,,,,,,,,,,,,,175,0.00
Geoff Swaim,2553454,TE,TEN,,,,,,,,,,,,5.10,,,,,1,,1,,,176,0.00
Tommy Sweeney,2562750,TE,BUF,,,,,,,,,,,,6.10,,,,,,,,,,177,0.00
Tyrone Swoopes,2559263,TE,FA,,,,,,,,,,,,,,,,,,,,,,178,0.00
Tim Tebow,497135,TE,FA,,,,,,,,,,,,,,,,,,,,,,179,0.00
Hunter Thedford,2565585,TE,FA,,,,,,,,,,,,,,,,,,,,,,180,0.00
Jordan Thomas,2560896,TE,FA,,,,,,,,,,,,,,,,,,,,,,181,0.00
Colin Thompson,2559268,TE,CAR,,,,,,,,,,,,3.80,,,,,,,,,,182,0.00
Noah Togiai,2564865,TE,FA,,,,,,,,,,,,,,,,,,,,,,183,0.00
Levine Toilolo,2540203,TE,NYG,,,,,,,,,,,,3.50,,,,,,,,,,184,0.00
Eric Tomlinson,2553744,TE,FA,,,,,,,,,,,,,,,,,,,,,,185,0.00
Ross Travis,2554630,TE,FA,,,,,,,,,,,,,,,,,,,,,,186,0.00
Tommy Tremble,2565914,TE,CAR,,,,,,,,,,,,3.80,,,,,,,,,,187,0.00
Carl Tucker,2566665,TE,FA,,,,,,,,,,,,,,,,,,,,,,188,0.00
Nick Vannett,2555289,TE,NO,,,,,,,,,,,,18.90,,,,,,,,,,189,0.00
Andrew Vollert,2561284,TE,FA,,,,,,,,,,,,,,,,,,,,,,190,0.00
Delanie Walker,2495966,TE,FA,,,,,,,,,,,,,,,,,,,,,,191,0.00
Kahale Warring,2562771,TE,FA,,,,,,,,,,,,,,,,,,,,,,192,0.00
Trevon Wesco,2562777,TE,NYJ,,,,,,,,,,,,8.60,,,,,,,,,,193,0.00
Nate Wieting,2563815,TE,FA,,,,,,,,,,,,,,,,,,,,,,194,0.00
Mitchell Wilcox,2563749,TE,CIN,,,,,,,,,,,,4.50,,,,,,,,,,195,0.00
Carson Williams,2565669,TE,FA,,,,,,,,,,,,,,,,,,,,,,196,0.00
Luke Willson,2541199,TE,FA,,,,,,,,,,,,,,,,,,,,,,197,0.00
Caleb Wilson,2562603,TE,FA,,,,,,,,,,,,,,,,,,,,,,198,0.00
Jason Witten,2505629,TE,FA,,,,,,,,,,,,,,,,,,,,,,199,0.00
Charlie Woerner,2565129,TE,SF,,,,,,,,,,,,9.80,,,,,,,,,,200,0.00
Eli Wolf,2565354,TE,FA,,,,,,,,,,,,,,,,,,,,,,201,0.00
Ethan Wolf,2561422,TE,FA,,,,,,,,,,,,,,,,,,,,,,202,0.00
Kenny Yeboah,2565768,TE,FA,,,,,,,,,,,,,,,,,,,,,,203,0.00
Deon Yelder,2561293,TE,FA,,,,,,,,,,,,,,,,,,,,,,204,0.00
