PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,ProjectedRank,Rank,TotalPoints,ProjectionDiff
Jacob Saylors,2570840,RB,DET,@PHI,,,,,,,,,,,,,0.00,202,183,0.00,0.0
Cody Schrader,2573545,RB,JAX,LAC,,,,,,,,,,,,,0.00,203,184,0.00,0.0
Lucas Scott,2573951,RB,BAL,@CLE,,,,,,,,,,,,,0.00,204,185,0.00,0.0
Zavier Scott,2570563,RB,MIN,CHI,,,,,,,,,,,,,0.00,205,186,0.00,0.0
Trey Sermon,2566544,RB,PIT,CIN,,,,,,,,,,,,,0.00,206,187,0.00,0.0
Aaron Shampklin,2568708,RB,FA,Bye,,,,,,,,,,,,,,207,188,0.00,
Will Shipley,2572390,RB,PHI,DET,,,,9.9,0.1,0.36,3.1,0.02,,,,0.04,2.12,65,189,0.00,-2.12
Devin Singletary,2562734,RB,NYG,GB,,,,33.73,0.28,1.71,9.91,0.1,,,,0.14,7.22,36,190,0.00,-7.22
Cam Skattebo,2574427,RB,NYG,GB,,,,,,,,,,,,,0.00,208,191,0.00,0.0
Jabari Small,2573479,RB,FA,Bye,,,,,,,,,,,,,,209,192,0.00,
Brashard Smith,2574256,RB,KC,@DEN,,,,11.45,0.1,1.33,10.71,0.07,,,,0.06,3.78,55,193,0.00,-3.78
Tyjae Spears,2569795,RB,TEN,HOU,,,,34.51,0.34,1.83,12.33,0.09,,,,0.21,7.76,32,194,0.00,-7.76
Carson Steele,2572847,RB,KC,@DEN,,,,,,,,,,,,,0.00,210,195,0.00,0.0
Rhamondre Stevenson,2566343,RB,NE,NYJ,,,,43.57,0.5,2,14.94,0.11,,,,0.19,10.13,22,196,0.00,-10.13
Tre Stewart,2574358,RB,FA,Bye,,,,,,,,,,,,,,211,197,0.00,
Pierre Strong,2567952,RB,GB,@NYG,,,,,,,,,,,,,0.00,212,198,0.00,0.0
D'Andre Swift,2563965,RB,CHI,@MIN,,,,47.36,0.54,2.64,19.99,0.13,,,,0.13,11.82,18,199,0.00,-11.82
Toa Taua,2574645,RB,FA,Bye,,,,,,,,,,,,,,213,200,0.00,
J.J. Taylor,2564640,RB,FA,Bye,,,,,,,,,,,,,,214,201,0.00,
Jonathan Taylor,2564148,RB,IND,Bye,,,,,,,,,,,,,,215,202,0.00,
Patrick Taylor,2564040,RB,SF,@ARI,,,,,,,,,,,,,0.00,216,203,0.00,0.0
Lawrance Toafili,2574648,RB,FA,Bye,,,,,,,,,,,,,,217,204,0.00,
Tyrone Tracy Jr.,2572351,RB,NYG,GB,,,,42.26,0.15,2.4,16.78,0.15,,,,0.13,8.64,28,205,0.00,-8.64
Sean Tucker,2571629,RB,TB,@BUF,,,,6.8,0.05,0.05,0.44,,0.13,,,0.03,1.77,68,206,0.00,-1.77
Bhayshul Tuten,2574235,RB,JAX,LAC,,,,28.35,0.22,1.08,9.2,0.06,,,,0.09,5.80,43,207,0.00,-5.8
Anthony Tyus III,2574121,RB,CAR,@ATL,,,,,,,,,,,,,0.00,218,208,0.00,0.0
Sione Vaki,2572021,RB,DET,@PHI,,,,0.57,,0.02,0.21,,,,,,0.09,93,209,0.00,-0.09
Xazavian Valladay,2571014,RB,FA,Bye,,,,,,,,,,,,,,219,210,0.00,
Ben VanSumeren,2570629,RB,PHI,DET,,,,,,,,,,,,,0.00,220,211,0.00,0.0
Deuce Vaughn,2569699,RB,DEN,KC,,,,,,,,,,,,,0.00,221,212,0.00,0.0
Ke'Shawn Vaughn,2565258,RB,FA,Bye,,,,,,,,,,,,,,222,213,0.00,
