PlayerName,PlayerId,Pos,Team,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,FanPtsAgainst-pts,TouchCarries,TouchReceptions,Touches,TargetsReceptions,Targets,ReceptionPercentage,RzTarget,RzTouch,RzG2G,Rank,TotalPoints
Adam Thielen,2541785,WR,MIN,,,,89,,12,144,,,,,,6.75,4,12,16,12,18,67,,,,34,41.20
Matthew Slater,4487,WR,NE,,,,,,,,,,,,,8.06,,,,,1,,,,,35,26.20
Andre Roberts,497320,WR,LAC,,,,,,11,135,,1,,,,7.34,,11,11,11,21,52,4,1,2,36,25.00
Rodney Adams,2558047,WR,CHI,,,,,,,,,,,,,5.83,,,,,,,,,,37,0.00
Quincy Adeboyejo,2558906,WR,FA,,,,,,,,,,,,,,,,,,,,,,,38,0.00
Jamal Agnew,2558821,WR,JAX,,,,,,,,,,,,,5.58,,,,,,,,,,39,0.00
Brandon Aiyuk,2565093,WR,SF,,,,,,,,,,,,,7.03,,,,,,,,,,40,0.00
Landen Akers,2566193,WR,LA,,,,,,,,,,,,,6.89,,,,,,,,,,41,0.00
Keenan Allen,2540154,WR,LAC,,,,,,,,,,,,,7.34,,,,,,,,,,42,0.00
Geronimo Allison,2556460,WR,DET,,,,,,,,,,,,,8.48,,,,,,,,,,43,0.00
Robby Anderson,2556462,WR,CAR,,,,,,,,,,,,,7.16,,,,,,,,,,44,0.00
J.J. Arcega-Whiteside,2562466,WR,PHI,,,,,,,,,,,,,8.43,,,,,,,,,,45,0.00
Marcell Ateman,2560961,WR,FA,,,,,,,,,,,,,,,,,,,,,,,46,0.00
Tutu Atwell,2566196,WR,LA,,,,,,,,,,,,,6.89,,,,,,,,,,47,0.00
Andre Baccellia,2564250,WR,ARI,,,,,,,,,,,,,,,,,,,,,,,48,0.00
Alex Bachman,2563301,WR,NYG,,,,,,,,,,,,,8.34,,,,,,,,,,49,0.00
Manasseh Bailey,2564817,WR,FA,,,,,,,,,,,,,,,,,,,,,,,50,0.00
