PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,Rank,TotalPoints
Cam Lewis,2563205,DB,BUF,@KC,,,,,,,,,,,,,,,,,,278,0.00
Donnie Lewis,2562910,DB,FA,Bye,,,,,,,,,,,,,,,,,,279,0.00
Jourdan Lewis,2557920,DB,DAL,@PHI,,,,,,,,,,,,,,,,,,280,0.00
P.J. Locke,2563012,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,281,0.00
David Long,2562798,DB,LA,CAR,,,,,,,,,,,,,,,,,,282,0.00
Julian Love,2562414,DB,NYG,BAL,,,,,,,,,,,,,,,,,,283,0.00
Chase Lucas,2567553,DB,DET,Bye,,,,,,,,,,,,,,,,,,284,0.00
Dylan Mabin,2563029,DB,ATL,SF,,,,,,,,,,,,,,,,,,285,0.00
Avonte Maddox,2560795,DB,PHI,DAL,,,,,,,,,,,,,,,,,,286,0.00
Dean Marlowe,2553562,DB,ATL,SF,,,,,,,,,,,,,,,,,,287,0.00
Iman Marshall,2562961,DB,FA,Bye,,,,,,,,,,,,,,,,,,288,0.00
Tyrann Mathieu,2540180,DB,NO,CIN,,,,,,,,,,,,,,,,,,289,0.00
Damarri Mathis,2567529,DB,DEN,@LAC,,,,,,,,,,,,,,,,,,290,0.00
Christian Matthew,2568114,DB,ARI,@SEA,,,,,,,,,,,,,,,,,,291,0.00
Arthur Maulet,2559087,DB,PIT,TB,,,,,,,,,,,,,,,,,,292,0.00
Jared Mayden,2565120,DB,FA,Bye,,,,,,,,,,,,,,,,,,293,0.00
Marcus Maye,2557995,DB,NO,CIN,,,,,,,,,,,,,,,,,,294,0.00
Bobby McCain,2552434,DB,WAS,@CHI,,,,,,,,,,,,,,,,,,295,0.00
Mac McCain III,2566866,DB,PHI,DAL,,,,,,,,,,,,,,,,,,296,0.00
Nick McCloud,2566638,DB,NYG,BAL,,,,,,,,,,,,,,,,,,297,0.00
Zyon McCollum,2568309,DB,TB,@PIT,,,,,,,,,,,,,,,,,,298,0.00
Devin McCourty,494287,DB,NE,@CLE,,,,,,,,,,,,,,,,,,299,0.00
Roger McCreary,2567655,DB,TEN,Bye,,,,,,,,,,,,,,,,,,300,0.00
Trent McDuffie,2567802,DB,KC,BUF,,,,,,,,,,,,,,,,,,301,0.00
Xavier McKinney,2564766,DB,NYG,BAL,,,,,,,,,,,,,,,,,,302,0.00
Rodney McLeod,2534832,DB,IND,JAX,,,,,,,,,,,,,,,,,,303,0.00
Zech McPhearson,2566406,DB,PHI,DAL,,,,,,,,,,,,,,,,,,304,0.00
Nathan Meadors,2562990,DB,FA,Bye,,,,,,,,,,,,,,,,,,305,0.00
Ifeatu Melifonwu,2566064,DB,DET,Bye,,,,,,,,,,,,,,,,,,306,0.00
Rashaan Melvin,2541200,DB,FA,Bye,,,,,,,,,,,,,,,,,,307,0.00
Josh Metellus,2564568,DB,MIN,@MIA,,,,,,,,,,,,,,,,,,308,0.00
Herb Miller,2563153,DB,CLE,NE,,,,,,,,,,,,,,,,,,309,0.00
Jordan Miller,2562497,DB,BUF,@KC,,,,,,,,,,,,,,,,,,310,0.00
Jalen Mills,2555383,DB,NE,@CLE,,,,,,,,,,,,,,,,,,311,0.00
