PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingInt,PassingTD,RushingPassingYDS,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Jalen Hurd,2562287,WR,SF,@CHI,,,,,,,,,,,,,221,0.00,,
Allen Hurns,2550353,WR,MIA,@BUF,,,,,,,,,,,,,222,0.00,,
John Hurst,2565222,WR,TB,@NO,,,,,,,,,,,,0.00,223,0.00,0.0,0.0
Ishmael Hyman,2562953,WR,FA,Bye,,,,,,,,,,,,,224,0.00,,
Josh Imatorbhebhe,2565621,WR,FA,Bye,,,,,,,,,,,,,225,0.00,,
Trenton Irwin,2562900,WR,CIN,@NYJ,,,,,,,,,,,,0.26,226,0.00,0.26,-0.26
Andy Isabella,2562669,WR,ARI,GB,,,,,,,,,,,,0.00,227,0.00,0.0,0.0
Thomas Ives,2563076,WR,FA,Bye,,,,,,,,,,,,,228,0.00,,
DeSean Jackson,1581,WR,LV,Bye,,,,,,,,,,,,,229,0.00,,
Trishton Jackson,2564355,WR,MIN,DAL,,,,,,,,,,,,0.00,230,0.00,0.0,0.0
Richie James,2560761,WR,SF,@CHI,,,,,,,,,,,,,231,0.00,,
Alshon Jeffery,2533039,WR,FA,Bye,,,,,,,,,,,,,232,0.00,,
Gary Jennings,2562292,WR,FA,Bye,,,,,,,,,,,,,233,0.00,,
Jauan Jennings,2565114,WR,SF,@CHI,,,,,,,,,,,,1.43,234,0.00,1.43,-1.43
Anthony Johnson,2562297,WR,FA,Bye,,,,,,,,,,,,,235,0.00,,
Bisi Johnson,2562465,WR,MIN,DAL,,,,,,,,,,,,,236,0.00,,
Cade Johnson,2567115,WR,SEA,JAX,,,,,,,,,,,,0.00,237,0.00,0.0,0.0
Johnathon Johnson,2565313,WR,FA,Bye,,,,,,,,,,,,,238,0.00,,
Jon'Vea Johnson,2562839,WR,FA,Bye,,,,,,,,,,,,,239,0.00,,
KeeSean Johnson,2562677,WR,PHI,@DET,,,,,,,,,,,,0.00,240,0.00,0.0,0.0
Julio Jones,2495454,WR,TEN,@IND,,,,,,,,,,,,0.00,241,0.00,0.0,0.0
Tim Jones,2565624,WR,JAX,@SEA,,,,,,,,,,,,0.00,242,0.00,0.0,0.0
Zay Jones,2557863,WR,LV,Bye,,,,,,,,,,,,,243,0.00,,
Travis Jonsen,2565228,WR,FA,Bye,,,,,,,,,,,,,244,0.00,,
Tom Kennedy,2563319,WR,FA,Bye,,,,,,,,,,,,,245,0.00,,
Darvin Kidsy,2561359,WR,FA,Bye,,,,,,,,,,,,,246,0.00,,
Mason Kinsey,2565459,WR,TEN,@IND,,,,,,,,,,,,0.00,247,0.00,0.0,0.0
Keith Kirkwood,2561224,WR,CAR,@ATL,,,,,,,,,,,,4.45,248,0.00,4.45,-4.45
J.J. Koski,2564367,WR,LA,@HOU,,,,,,,,,,,,0.00,249,0.00,0.0,0.0
Jake Kumerow,2553548,WR,BUF,MIA,,,,,,,,,,,,1.02,250,0.00,1.02,-1.02
Jake Lampman,2556882,WR,FA,Bye,,,,,,,,,,,,,251,0.00,,
Allen Lazard,2560787,WR,GB,@ARI,,,,,,,,,,,,0.00,252,0.00,0.0,0.0
Kai Locksley,2565675,WR,FA,Bye,,,,,,,,,,,,,253,0.00,,
Austin Mack,2564760,WR,FA,Bye,,,,,,,,,,,,,254,0.00,,
Josh Malone,2558127,WR,FA,Bye,,,,,,,,,,,,,255,0.00,,
Terrace Marshall Jr.,2565902,WR,CAR,@ATL,,,,,,,,,,,,0.00,256,0.00,0.0,0.0
Jalen McCleskey,2563515,WR,FA,Bye,,,,,,,,,,,,,257,0.00,,
Isaiah McKenzie,2558129,WR,BUF,MIA,,,,,,,,,,,,1.34,258,0.00,1.34,-1.34
Isaiah McKoy,2565786,WR,FA,Bye,,,,,,,,,,,,,259,0.00,,
Racey McMath,2566112,WR,TEN,@IND,,,,,,,,,,,,,260,0.00,,
