PlayerName,PlayerId,Pos,Team,PlayerOpponent,PassingYDS,PassingTD,PassingInt,RushingYDS,RushingTD,ReceivingRec,ReceivingYDS,ReceivingTD,RetTD,FumTD,2PT,Fum,PlayerWeekProjectedPts,Rank,TotalPoints,ProjectionDiff
Brevyn Spann-Ford,2573064,TE,DAL,@SF,,,,,,,,,,,,,0.00,170,0.00,0.0
Geor'Quarius Spivey,2573887,TE,FA,Bye,,,,,,,,,,,,,,171,0.00,
John Stephens Jr.,2570894,TE,DAL,@SF,,,,,,,,,,,,,0.00,172,0.00,0.0
Steven Stilianos,2573485,TE,FA,Bye,,,,,,,,,,,,,,173,0.00,
Austin Stogner,2572893,TE,FA,Bye,,,,,,,,,,,,,,174,0.00,
Jack Stoll,2567061,TE,PHI,@CIN,,,,,,,,,,,,,0.44,175,0.00,-0.44
Cade Stover,2572105,TE,HOU,IND,,,,,,,,,,,,,2.03,176,0.00,-2.03
Brenton Strange,2569912,TE,JAX,GB,,,,,,,,,,,,,1.55,177,0.00,-1.55
Stephen Sullivan,2565192,TE,FA,Bye,,,,,,,,,,,,,,178,0.00,
Sage Surratt,2566911,TE,FA,Bye,,,,,,,,,,,,,,179,0.00,
Geoff Swaim,2553454,TE,CLE,BAL,,,,,,,,,,,,,0.00,180,0.00,0.0
Tommy Sweeney,2562750,TE,FA,Bye,,,,,,,,,,,,,,181,0.00,
Messiah Swinson,2572675,TE,FA,Bye,,,,,,,,,,,,,,182,0.00,
Tanner Taula,2571587,TE,TB,ATL,,,,,,,,,,,,,0.00,183,0.00,0.0
Ian Thomas,2560894,TE,CAR,@DEN,,,,,,,,,,,,,0.51,184,0.00,-0.51
Jordan Thomas,2560896,TE,FA,Bye,,,,,,,,,,,,,,185,0.00,
Logan Thomas,2543767,TE,FA,Bye,,,,,,,,,,,,,,186,0.00,
Noah Togiai,2564865,TE,FA,Bye,,,,,,,,,,,,,,187,0.00,
Eric Tomlinson,2553744,TE,LAC,NO,,,,,,,,,,,,,0.00,188,0.00,0.0
Jake Tonges,2567439,TE,SF,DAL,,,,,,,,,,,,,0.00,189,0.00,0.0
Robert Tonyan,2559270,TE,MIN,@LAR,,,,,,,,,,,,,0.00,190,0.00,0.0
Adam Trautman,2564703,TE,DEN,CAR,,,,,,,,,,,,,1.55,191,0.00,-1.55
Tommy Tremble,2565914,TE,CAR,@DEN,,,,,,,,,,,,,2.44,192,0.00,-2.44
Cole Turner,2568354,TE,WAS,CHI,,,,,,,,,,,,,0.00,193,0.00,0.0
C.J. Uzomah,2552559,TE,FA,Bye,,,,,,,,,,,,,,194,0.00,
Nick Vannett,2555289,TE,TEN,@DET,,,,,,,,,,,,,0.00,195,0.00,0.0
Travis Vokolek,2570431,TE,ARI,@MIA,,,,,,,,,,,,,0.00,196,0.00,0.0
Darren Waller,2552408,TE,FA,Bye,,,,,,,,,,,,,,197,0.00,
Jacob Warren,2573355,TE,FA,Bye,,,,,,,,,,,,,,198,0.00,
Darnell Washington,2570257,TE,PIT,NYG,,,,,,,,,,,,,1.12,199,0.00,-1.12
Treyton Welch,2573040,TE,NO,@LAC,,,,,,,,,,,,,0.00,200,0.00,0.0
David Wells,2560925,TE,FA,Bye,,,,,,,,,,,,,,201,0.00,
