PlayerName,PlayerId,Pos,Team,PlayerOpponent,TacklesTot,TacklesAst,TacklesSck,TacklesTfl,TurnoverInt,TurnoverFrcFum,TurnoverFumRec,ScoreIntTd,ScoreFumTd,ScoreBlkTd,ScoreSaf,ScoreDef2ptRet,Blk,PDef,QBHit,ReturnIntYds,ReturnFumYds,PlayerWeekProjectedPts,Rank,TotalPoints,y,ProjectionDiff
Sam Franklin,2563638,DB,CAR,@HOU,1,1,,,,,,,,,,,,,,,,1.05,174,2.50,1.05,1.45
Joe Haden,496733,DB,PIT,CIN,1,1,,,,,,,,,,,,,,,,8.79,175,2.50,8.79,-6.29
Nate Hairston,2558108,DB,DEN,NYJ,,,,,,,,,,,,,,1,,,,0.81,176,2.50,0.81,1.69
Troy Hill,2553536,DB,CLE,CHI,1,1,,,,,,,,,,,,,,,,3.88,177,2.50,3.88,-1.38
Malik Hooker,2558060,DB,DAL,PHI,,,,,,,,,,,,,,1,,,,1.78,178,2.50,1.78,0.72
Jaycee Horn,2565893,DB,CAR,@HOU,1,1,,,,,,,,,,,,,,,,,179,2.50,,
Kareem Jackson,496735,DB,DEN,NYJ,1,1,,,,,,,,,,,,,,,,9.24,180,2.50,9.24,-6.74
Patrick Peterson,2495504,DB,MIN,SEA,1,1,,,,,,,,,,,,,,,,,181,2.50,,
Nick Scott,2562905,DB,LA,TB,1,1,,,,,,,,,,,,,,,,2.19,182,2.50,2.19,0.31
M.J. Stewart,2560884,DB,CLE,CHI,1,1,,,,,,,,,,,,,,,,,183,2.50,,
Chandon Sullivan,2560887,DB,GB,@SF,,,,,,,,,,,,,,1,,,,4.61,184,2.50,4.61,-2.11
Avery Williams,2565833,DB,ATL,@NYG,,,,,,,,,,,,,,1,,,,0.91,185,2.50,0.91,1.59
Tyree Gillespie,2566256,DB,LV,MIA,,3,,,,,,,,,,,,,,,,0.94,186,2.40,0.94,1.46
